policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
cvoi_sf,burst,3003,8064,2015,0.37212085818420526,0.05405548877637086,0.6947890818858561,0.6782464846980976,1.5411083540115798,12.0,0.9994943724938636,86.74937965260547,22.6883829811648,0.05,0.21049999999999638,0.12818374169404995,2.1080000000000956,0.0,10.555555555556055,3,low,1
b2croi_v8q,burst,3003,8064,2015,0.3032144928096634,0.02104919053234774,0.24813895781637718,0.3143093465674111,4.972870140612076,84.0,0.9764491590376785,86.74937965260547,268.76598558441805,0.4201300352424499,0.08030000000000052,0.12818374169404995,0.7393333333333327,0.0,55.000000000000334,3,low,1
oracle,burst,3003,8064,2015,0.30292916615916,0.01980905012856802,0.23159636062861869,0.2977667493796526,5.100909842845327,84.0,0.9737191925485352,86.74937965260547,50.23745301690313,0.5402968798096239,0.06530000000000052,0.12818374169404995,0.4059999999999995,0.0,58.000000000000426,3,low,1
error_trigger,burst,3004,10080,2015,0.3847762035934861,0.06376615404662855,0.8933002481389578,0.5128205128205128,7.236062861869313,109.0,0.9894471319686056,85.70719602977668,3.874377652577519,0.6978658034160707,0.40549999999996716,0.14025052101068428,6.587999999999668,0.0,53.33333333333264,3,low,1
generic_voi,burst,3004,10080,2015,0.38414835283598464,0.06526130959724812,0.9098428453267163,0.5459057071960298,6.150041356492969,93.0,0.9908495478340278,85.70719602977668,7.4245127798439405,0.601814696513867,0.4204999999999749,0.14025052101068428,6.921333333333017,0.0,51.66666666666601,3,low,1
ar1_growth_voi,burst,3004,10080,2015,0.46422417891420836,0.1490486479634715,2.117452440033085,1.240694789081886,3.500413564929694,29.0,0.6495400759215879,85.70719602977668,9.085904869248642,1.2,0.9994000000000001,0.14025052101068428,31.22466666666627,0.0,231.99999999999764,3,low,1
cvoi_sf,burst,3004,10080,2015,0.4477275692181963,0.08022688766673675,1.0918114143920596,0.76095947063689,1.6226633581472292,15.0,0.992745049569708,85.70719602977668,20.674430816053015,0.2288304128180307,0.5855000000000143,0.14025052101068428,10.557999999999687,0.0012216645710969466,28.777777777778606,3,low,1
b2croi_v8q,burst,3004,10080,2015,0.40073914473222016,0.025316699014333845,0.2977667493796526,0.3143093465674111,6.6916459884201815,109.0,0.9900884470640505,85.70719602977668,284.2346257148842,0.6643292702593224,0.05,0.14025052101068428,0.0,0.0,49.99999999999968,3,low,1
oracle,burst,3004,10080,2015,0.39535283403968396,0.02401024289412255,0.2812241521918941,0.2977667493796526,7.220512820512821,109.0,0.9869880374441538,85.70719602977668,52.305783645455584,0.8140940167136428,0.05,0.14025052101068428,0.0,0.0,54.666666666665975,3,low,1
error_trigger,burst,3005,12096,2015,0.3643749356862324,0.05441167451831307,0.7444168734491315,0.49627791563275436,6.166749379652606,92.0,0.9647555822630723,86.30272952853598,4.025195897429738,1.2,0.27049999999998914,0.13590205268627742,3.446000000000236,2.1518313621579854,65.55555555555542,3,low,1
generic_voi,burst,3005,12096,2015,0.3671661681381047,0.0516854593335439,0.7113316790736146,0.4466501240694789,5.486683209263854,83.0,0.966453082850193,86.30272952853598,7.217194799509445,1.2,0.24050000000000477,0.13590205268627742,2.90933333333346,2.157189014742383,64.22222222222163,3,low,1
ar1_growth_voi,burst,3005,12096,2015,0.4497269032640758,0.10221242810546459,1.3564929693961951,1.174524400330852,3.3144747725392887,33.0,0.6612374911303814,86.30272952853598,9.070294267883888,1.2,0.8255000000000169,0.13590205268627742,15.285333333333096,2.144868010876825,227.11111111110907,3,low,1
cvoi_sf,burst,3005,12096,2015,0.42247714400989533,0.055828022386734434,0.6617038875103392,0.8767576509511994,1.5396195202646816,13.0,0.998650666513188,86.30272952853598,20.935451646541097,0.05,0.1955000000000101,0.13590205268627742,2.7953333333334793,2.2685122436999996,18.555555555555355,3,low,1
