variable_set,network,seed,window,policy,baseline,loss_mean_delta,missed_violation_pct_delta,rmse_mean_delta,choice_fairness_delta
temperature_inside,severe_burst,18,1,b2croi_v8q,error_trigger,-0.008324386147787816,-0.11582117211026176,0.0066553591667621315,0.1115793319168219
temperature_inside,severe_burst,19,0,b2croi_v8q,error_trigger,-0.01563243571924948,-0.2316423442205235,0.0035264932613435773,0.08897945491918335
temperature_inside,severe_burst,19,1,b2croi_v8q,error_trigger,-0.007634213574241372,-0.046328468844104714,0.004916593245096024,0.12465950813105087
humidity_inside,burst,0,0,b2croi_v8q,error_trigger,-0.019106930738939074,-0.27797081306462823,0.010496795399527081,0.034046435681543974
humidity_inside,burst,0,1,b2croi_v8q,error_trigger,-0.004863351401436182,-0.06949270326615706,0.0027559510225924067,0.01366787112864043
humidity_inside,burst,1,0,b2croi_v8q,error_trigger,-0.008687311558952976,-0.11582117211026174,-0.004466365467584721,0.03246832069541361
humidity_inside,burst,1,1,b2croi_v8q,error_trigger,-0.00104166411860088,0.0,0.002608111558682291,0.01781688341741139
humidity_inside,burst,2,0,b2croi_v8q,error_trigger,-0.011110121843873059,-0.13898540653231412,0.022948565674459354,0.034918326733562655
humidity_inside,burst,2,1,b2croi_v8q,error_trigger,-0.0034712976604123224,-0.02316423442205235,0.01159846163117395,0.019169839940375577
humidity_inside,burst,3,0,b2croi_v8q,error_trigger,-0.007992393791985172,-0.09265693768820941,-0.0037354574257211226,0.031376848948055924
humidity_inside,burst,3,1,b2croi_v8q,error_trigger,-0.004863422747278202,-0.06949270326615706,0.004149002100981902,0.021071010493012854
humidity_inside,burst,4,0,b2croi_v8q,error_trigger,-0.011116544822793607,-0.16214964095436646,0.0071011867774556925,0.04125541366943142
humidity_inside,burst,4,1,b2croi_v8q,error_trigger,-0.0017362937224924694,-0.023164234422052357,0.003647915818760672,0.017992863644227808
