N,heterogeneity,bw,network,baseline,n_windows,rmse_mean_delta_mean,rmse_mean_delta_ci95,loss_mean_delta_mean,loss_mean_delta_ci95,missed_violation_pct_delta_mean,missed_violation_pct_delta_ci95,choice_fairness_delta_mean,choice_fairness_delta_ci95
6,high,2,burst,generic_voi,4,0.03803546346328379,0.008995688873439885,-0.03836745525639469,0.010517523843550737,-0.5459057071960297,0.17709677657579775,0.00501026825573736,0.0013715380917866437
6,high,2,burst,cvoi_sf,4,-0.035842776498725665,0.01132828645350509,-0.05114336583976363,0.011864523804114537,-0.6617038875103392,0.18424893938580286,0.005951619320460899,0.0014004559084778048
6,high,2,burst,h_no_mode,4,0.022763688957697155,0.005346587034842162,0.0006628264736566114,0.0008199967965901568,0.004135649296939617,0.014039783220988408,0.007877718444862486,0.0016059150386149872
6,high,2,burst,h_no_constraint_bonus,4,0.022595554069022125,0.005601855835069357,0.0006607079159993371,0.0008230997194535693,0.004135649296939617,0.014039783220988408,0.008073950009831993,0.0015102215821756674
6,high,2,burst,h_no_rmse_cost,4,-0.013597495971647555,0.0050019767599274,7.162794415287773e-05,0.0009546320640562565,0.006203473945409425,0.012158808933002474,-0.00016603969970654942,0.00020594880720009224
6,high,2,burst,h_no_reliability,4,0.003719286697011673,0.008363251799828298,0.0004926204891155727,0.0007861645359807367,0.006203473945409425,0.012158808933002474,0.0003128236746542945,0.0003591921047651
6,high,2,burst,oracle,4,0.027979781975839724,0.007559823002157505,0.0010161488432184453,0.0006201980854649842,0.004135649296939617,0.014039783220988408,0.006688056846579443,0.0019723587090580727
6,high,2,severe_burst,error_trigger,4,0.03827039247012609,0.00551240764636366,-0.042544788669587004,0.013918572246905446,-0.6348221670802316,0.23215224849937618,0.0038335817321247523,0.0018210747758993734
6,high,2,severe_burst,generic_voi,4,0.0379257764579735,0.0057877378857399825,-0.04452304827980828,0.012713816232816155,-0.6699751861042182,0.21292385485248008,0.0037673511322338094,0.001852806155036444
6,high,2,severe_burst,cvoi_sf,4,-0.027268452745434837,0.010454690102492756,-0.06012013423828991,0.009411053669260334,-0.8002481389578164,0.17552848700782647,0.005361795370817185,0.002341607419768578
6,high,2,severe_burst,h_no_mode,4,0.026742999869291448,0.008107367931147233,0.0023951827974400056,0.002850332491373607,0.0206782464846981,0.037730783685948614,0.00533633503697914,0.0013820513873357236
6,high,2,severe_burst,h_no_constraint_bonus,4,0.023409606191959767,0.002281047561964062,0.0020183087056326026,0.0014239936772739547,0.012406947890818809,0.02339963870164737,0.0053673060110741855,0.001319722425752223
6,high,2,severe_burst,h_no_rmse_cost,4,-0.014883829885058708,0.00844545026288495,0.000498549408550172,0.0029586340023952436,0.008271298593879206,0.049083496228544944,-4.05933525973734e-05,7.428711808434336e-05
6,high,2,severe_burst,h_no_reliability,4,0.012500800149396751,0.007887771242540725,0.001398214693589325,0.002981580578371538,0.008271298593879262,0.04133200267428399,0.0005401942065407506,0.00040948077978327977
6,high,2,severe_burst,oracle,4,0.029600593663795527,0.008955510797463087,0.0022691528972848037,0.0031037996515115374,0.008271298593879206,0.039710503687800054,0.006383156898094988,0.0023250722875800996
6,low,2,burst,error_trigger,4,0.0386511822334065,0.006021461566235101,-0.027886090792458143,0.010518775776699352,-0.41356492969396197,0.1654604320325003,0.03437579686754422,0.009578384700889625
6,low,2,burst,generic_voi,4,0.038539590292816873,0.00454509870026713,-0.02664789108613253,0.006182362040379809,-0.39081885856079407,0.0876471880432447,0.033608390804825944,0.008725700602761849
6,low,2,burst,cvoi_sf,4,-0.0481530035604856,0.0031532951168326,-0.03793683140367941,0.008850968962593601,-0.47973531844499584,0.13053559286018787,0.002619455986027641,0.0023131769075865607
6,low,2,burst,h_no_mode,4,0.030746792771652882,0.001406227240714557,-0.00022249346997450965,0.0001816480002773867,-0.008271298593879227,2.6042461676068256e-17,0.035439451327565624,0.007290678932727901
6,low,2,burst,h_no_constraint_bonus,4,0.03000003102108132,0.0015871356819325154,-0.0002266118317732586,0.000179642678447261,-0.008271298593879227,2.6042461676068256e-17,0.03561082929221912,0.007296551165151528
6,low,2,burst,h_no_rmse_cost,4,-0.012153664024175281,0.005726736080434061,-0.0008453195735199891,0.0005022422065960837,-0.010339123242349042,0.010199666041584394,-0.00010263666911783376,8.71574972495262e-05
