N,heterogeneity,bw,network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95
6,high,2,severe_burst,error_trigger,4,0.46010693668778185,0.01750065558181318,0.08972985414829629,0.01785034346282088,1.182795698924731,0.2671250936677981,0.9953814448935255,0.0010237604377440043
6,high,2,severe_burst,generic_voi,4,0.46045155269993443,0.019151596289548104,0.09170811375851758,0.01716199300814929,1.2179487179487178,0.2528352347224792,0.9954476754934164,0.0011174798579541866
6,high,2,severe_burst,oracle,4,0.46877673549411236,0.017722724882321145,0.044915912581424494,0.004206492019885458,0.5397022332506204,0.03525511051471154,0.9928318697275552,0.0029966418320736977
6,high,2,severe_burst,v8_no_constraint_bonus,4,0.4749677229659482,0.016612920670022936,0.045166756773076695,0.005797258934814276,0.5355665839536807,0.053920810594446075,0.9938477206145759,0.00200425459974654
6,high,2,severe_burst,v8_no_mode,4,0.4716343292886165,0.015233785537125056,0.044789882681269294,0.003964172921714516,0.5272952853598015,0.025093316940428115,0.993878691588671,0.002156490584045618
6,high,2,severe_burst,v8_no_reliability,4,0.4858765290085112,0.015191043814304176,0.04578685078511997,0.005094107864887624,0.5397022332506203,0.034628303020724505,0.9986748324191094,0.001205633838504372
6,high,2,severe_burst,v8_no_rmse_cost,4,0.5132611590429667,0.014263877609344104,0.046686516070159126,0.0074278509812317674,0.5397022332506204,0.06564422388194768,0.9992556199782476,0.0008218996441474232
6,low,2,burst,b2croi_v8,4,0.30856215627906003,0.030664571730319827,0.018654983459289797,0.00306962441348949,0.23986765922249795,0.03801991269335784,0.9996475702349855,0.0001272275558405534
6,low,2,burst,cvoi_sf,4,0.3567151598395456,0.02893614193881415,0.05659181486296921,0.011674581401156906,0.7196029776674938,0.1680869522436821,0.9970281142489578,0.0022194529207110645
6,low,2,burst,error_trigger,4,0.2699109740456535,0.030038490857494386,0.046541074251747944,0.013112360968789195,0.6534325889164598,0.20172605818397013,0.9652717733674412,0.0096696300012586
6,low,2,burst,generic_voi,4,0.27002256598624313,0.029919783480110575,0.04530287454542233,0.008748676181293174,0.630686517783292,0.12264179026689431,0.9660391794301595,0.008821403351536914
6,low,2,burst,oracle,4,0.27325892481178476,0.028345103753309935,0.01870855761969964,0.0030314581943500364,0.24813895781637715,0.03801991269335782,0.964424592912082,0.00955365740668425
6,low,2,burst,v8_no_constraint_bonus,4,0.2785621252579787,0.029776466098704834,0.018881595291063057,0.0030653310700272463,0.24813895781637715,0.03801991269335782,0.9640367409427664,0.007364515178284021
6,low,2,burst,v8_no_mode,4,0.2778153635074071,0.02959921812465746,0.01887747692926431,0.003073072562306442,0.24813895781637715,0.03801991269335782,0.9642081189074199,0.007354389144250279
6,low,2,burst,v8_no_reliability,4,0.3036904281642545,0.033599023640621,0.019137218499943088,0.0031295639388662653,0.24813895781637715,0.03801991269335782,0.9993939106906387,0.0003541923218783586
6,low,2,burst,v8_no_rmse_cost,4,0.32071582030323526,0.03623345163728683,0.019500303032809786,0.0031901945061116955,0.25020678246484696,0.04153023883639539,0.9997502069041033,9.791045522461598e-05
6,low,2,severe_burst,b2croi_v8,4,0.5021513902590801,0.008134100580195076,0.05021676023722021,0.010339983292576712,0.6327543424317618,0.14537937724034533,0.999740056262935,0.00011976129362473272
6,low,2,severe_burst,cvoi_sf,4,0.5328860030341331,0.01387394946926861,0.09429523186749195,0.01026354405498334,1.2241521918941274,0.1187632520337425,0.996647729772059,0.0027639304847090454
6,low,2,severe_burst,error_trigger,4,0.45956195326294913,0.012945716680658309,0.07445125750046601,0.013361083950940737,1.0028949545078578,0.18093535152885626,0.9747713216118237,0.005769270673313889
6,low,2,severe_burst,generic_voi,4,0.46044805779439785,0.013648222103533458,0.08061171557865784,0.012879788135275542,1.1042183622828785,0.1736625275427293,0.9757172566969103,0.004852629364677552
6,low,2,severe_burst,oracle,4,0.46395178169539875,0.01165784433268304,0.05071642595909107,0.008994035254039492,0.6658395368072788,0.1344206904279691,0.9734649714739435,0.00554527103668294
6,low,2,severe_burst,v8_no_constraint_bonus,4,0.47271617599557414,0.012686632818984743,0.0501603664136053,0.00859346962457781,0.6472291149710505,0.12459071650918618,0.9728102305692344,0.004078148158628464
6,low,2,severe_burst,v8_no_mode,4,0.47445326467922827,0.015343350543725345,0.050715935433232086,0.00880888113126857,0.6575682382133995,0.13045167411614933,0.9729236415970002,0.004201757966829271
6,low,2,severe_burst,v8_no_reliability,4,0.48843187396751714,0.016958831318700844,0.05104076063662223,0.00829292329768086,0.6596360628618694,0.12246307718067302,0.9994650808644615,0.00024812290990759933
