policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,dataset,variable_set,safe_min,safe_max,window
cvoi_sf,severe_burst,10,4320,1439,0.5608731056967543,0.012640459578410935,0.13898540653231412,0.27797081306462823,2.239749826268242,21.0,0.9992346693805503,73.73175816539263,21.189624788932104,0.05,0.05,0.2533305269730185,0.0,0.0,12.444444444444263,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,1
b2croi_hq,severe_burst,10,4320,1439,0.5157903148357019,0.008801819782256196,0.11582117211026176,0.11582117211026176,3.1023859161454714,29.0,0.9978248246584122,73.73175816539263,256.5960301270112,0.2124552390500643,0.05,0.2533305269730185,0.0,0.0,27.3333333333336,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,1
oracle,severe_burst,11,2880,1439,0.5764777021683821,0.00395891220755154,0.02316423442205235,0.16214964095436646,3.2006022700949734,24.0,0.9485740383685993,75.33009034051425,50.01545683244571,1.2,0.05,0.23380064608374101,0.0,0.0,56.88888888888774,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,0
error_trigger,severe_burst,11,2880,1439,0.5461832116881014,0.016805672457725268,0.13898540653231412,0.5559416261292565,3.17697475098448,24.0,0.9480112201783747,75.33009034051425,3.432877742975971,1.2,0.05,0.23380064608374101,0.0,0.0,57.222222222221006,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,0
generic_voi,severe_burst,11,2880,1439,0.5462883802847566,0.019238481352791287,0.16214964095436646,0.6254343293954135,2.895529302756544,24.0,0.9717301520486278,75.33009034051425,7.14952123071157,1.2,0.05,0.23380064608374101,0.0,0.0,45.55555555555579,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,0
cvoi_sf,severe_burst,11,2880,1439,0.690700671516718,0.020713094278434097,0.13898540653231412,0.8107482047718323,2.083159601575168,18.0,0.9992867480391603,75.33009034051425,20.49103743623867,0.05,0.05,0.23380064608374101,0.0,0.0,9.666666666666657,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,0
b2croi_hq,severe_burst,11,2880,1439,0.5672637048836663,0.007088990502663886,0.02316423442205235,0.3706277507528376,2.960620801482511,22.0,0.9935103660938459,75.33009034051425,246.93264303013132,1.1813827651434194,0.05,0.23380064608374101,0.0,0.0,28.222222222223262,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,0
oracle,severe_burst,11,4320,1439,0.4687289970630215,0.0035637090572156584,0.0463284688441047,0.0463284688441047,3.1737317581653928,39.0,0.9723708054108855,75.33009034051425,50.84427211613571,0.6934130420750864,0.05,0.23380064608374101,0.0,0.0,49.22222222222201,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,1
error_trigger,severe_burst,11,4320,1439,0.46946453379303393,0.0039114227472782015,0.0463284688441047,0.06949270326615706,3.176048181607598,39.0,0.9734569146143045,75.33009034051425,3.458704469988253,0.6835039359267483,0.05,0.23380064608374101,0.0,0.0,48.22222222222201,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,1
generic_voi,severe_burst,11,4320,1439,0.47331229656559826,0.009471697938383136,0.13898540653231412,0.06949270326615706,2.8334491545054434,39.0,0.990169652160233,75.33009034051425,7.135271598909198,0.5146931814558082,0.05,0.23380064608374101,0.0,0.0,35.22222222222306,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,1
cvoi_sf,severe_burst,11,4320,1439,0.5864091120610836,0.017166719481121147,0.23164234422052352,0.20847810979847115,2.079221681723419,18.0,0.9987199614155664,75.33009034051425,20.497596497136826,0.06662418345130813,0.05,0.23380064608374101,0.0,0.0,11.888888888888665,mendeley_3dw54yhhcc,humidity_inside,35.0,85.0,1
