window,t,loop,p_gaussian,p_empirical,true_violation,mu,xt,age
1,5780,2,0.8625668781397884,0.9900744416873449,1.0,19.427804114471982,19.0,5
1,5781,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5781,1,0.7085182021226284,0.9741935483870968,1.0,20.539192144355113,20.0,7
1,5781,2,0.8465541431251862,0.9900744416873449,1.0,19.47336027324634,19.0,6
1,5782,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5782,1,0.6955093578032374,0.9741935483870968,1.0,20.585712253271005,20.0,8
1,5782,2,0.8316703347038774,0.9900744416873449,1.0,19.51853304163357,19.0,7
1,5783,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5783,1,0.6836988849564192,0.9741935483870968,1.0,20.631831562488983,20.0,9
1,5783,2,0.8178179540271647,0.9900744416873449,1.0,19.563325646160955,19.0,8
1,5784,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5784,1,0.6729283565422242,0.9741935483870968,1.0,20.677553525147953,20.0,10
1,5784,2,0.8049032370760267,0.9900744416873449,1.0,19.60774128620204,19.0,9
1,5785,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5785,1,0.663070456277027,0.9741935483870968,1.0,20.722881564635873,20.0,11
1,5785,2,0.7928403629518437,0.9900744416873449,1.0,19.651783134205168,19.0,10
1,5786,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5786,1,0.6540209315734711,0.9741935483870968,1.0,20.767819074846088,20.0,12
1,5786,2,0.7815525579801166,0.9900744416873449,1.0,19.69545433592007,19.0,11
1,5787,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5787,1,0.6456929303231743,0.9741935483870968,1.0,20.812369420431434,20.0,13
1,5787,2,0.7709718127784595,0.9900744416873449,1.0,19.738758010622547,19.0,12
1,5788,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5788,1,0.6380129742133714,0.9741935483870968,1.0,20.856535937056172,20.0,14
1,5788,2,0.7610380479294028,0.9900744416873449,1.0,19.781697251337288,19.0,13
1,5789,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5789,1,0.6309180601798892,0.9732009925558313,1.0,20.90032193164574,20.0,15
1,5789,2,0.7516981270638586,0.9900744416873449,1.0,19.824275125058776,19.0,14
1,5790,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5790,1,0.6243535442526822,0.9528535980148883,1.0,20.943730682634346,20.0,16
1,5790,2,0.742904898015985,0.9900744416873449,1.0,19.866494672970358,19.0,15
1,5791,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5791,1,0.6182715722695392,0.9270471464019852,1.0,20.986765440210462,20.0,17
1,5791,2,0.7346163345072476,0.9900744416873449,1.0,19.908358910661466,19.0,16
1,5792,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5792,1,0.6126298964751399,0.8893300248138958,1.0,21.02942942656015,20.0,18
1,5792,2,0.7267947985280551,0.9895781637717121,1.0,19.94987082834301,19.0,17
1,5793,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5793,1,0.6073909674369354,0.8694789081885856,1.0,21.07172583610834,20.0,19
1,5793,2,0.7194064197395869,0.9851116625310173,1.0,19.991033391060956,19.0,18
1,5794,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5794,1,0.6025212248618609,0.8640198511166253,1.0,21.113657835757994,20.0,20
1,5794,2,0.7124205786565587,0.9796526054590571,1.0,20.031849538908112,20.0,19
1,5795,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
