N,heterogeneity,bw,network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95,avg_aoi_mean,avg_aoi_ci95
9,low,3,burst,cvoi_sf,21,0.3313703628473653,0.013184765597509258,0.039178499630043655,0.004868684726878927,0.4910262974779104,0.06568846141227172,0.9975018495322724,0.00070181220740437,1.535352580513871,0.022502477212303543
9,low,3,burst,error_trigger,21,0.24037826028794876,0.01536310054845491,0.02854479992032163,0.00592977655901513,0.3802171544107028,0.08308174108017441,0.9523867736176965,0.008908909120249104,15.176265311749184,1.7966774759959663
9,low,3,burst,generic_voi,21,0.2401510237558185,0.015290976330633952,0.027989122030039244,0.005706879490370378,0.3749655362558589,0.08240453714995831,0.9552483439706754,0.008428193166988394,12.962290755839144,1.4957438411872572
9,low,3,burst,oracle,21,0.2412696979807614,0.013974818532015078,0.012763276029229867,0.0011415697356377255,0.15781112555306107,0.017829038983833846,0.9528798361277934,0.008707695465174881,15.302101960166475,1.8513287407675567
9,low,3,severe_burst,ar1_growth_voi,21,0.49739236083216654,0.0219532797705528,0.08295542426178695,0.013463252555972546,1.1159688579043414,0.2021938918309188,0.7035290956394882,0.013334433623418487,3.9724815208686173,0.12063462455018208
9,low,3,severe_burst,b2croi_hq,21,0.46245757575312124,0.02503860823450597,0.034132565386211906,0.002431525695578195,0.40358685519975845,0.03607459285785486,0.9998272457119655,6.016463755662446e-05,3.181514304094949,0.07035667452674117
9,low,3,severe_burst,cvoi_sf,21,0.4832199470440589,0.022064942604862647,0.06463219154903958,0.008411605356686575,0.8050730631375793,0.12030467665590075,0.9972487805064806,0.000628371610196598,2.146105268685914,0.040741164319582544
9,low,3,severe_burst,error_trigger,21,0.40570523092963656,0.02295605304962868,0.05069833219401539,0.007843014594167383,0.6622290493258235,0.11330416387334966,0.9613614691771469,0.0076480134763026305,16.650504811795134,2.024664367412243
9,low,3,severe_burst,generic_voi,21,0.40517781139591025,0.023300394913509746,0.050635158072286704,0.00788457723892238,0.6645922774955033,0.11693219604878809,0.9632200516476053,0.007341672482105957,14.648178344952541,1.7054488822079445
9,low,3,severe_burst,oracle,21,0.40718483777142145,0.022909480691931657,0.03324920208358218,0.002434535390397588,0.40778814972363364,0.03594992405832436,0.9618726719772762,0.007562974219932897,16.657077211915922,2.094431069279786
9,medium,3,burst,ar1_growth_voi,21,0.34657676887195843,0.012762433754882747,0.07026877021114203,0.011576228773668755,0.9626216077828983,0.16967911688912082,0.6601097155135258,0.012138020823731686,3.4795436343823436,0.12318376656941775
9,medium,3,burst,b2croi_hq,21,0.29965099660936,0.016781534124264717,0.01518503435784959,0.0014144936186123802,0.1754040463717883,0.018862078947673597,0.9998452385952097,7.146249948237242e-05,2.6007929943413814,0.06480431309770532
9,medium,3,burst,cvoi_sf,21,0.33110954061637693,0.012787585727232476,0.05074239118136054,0.006583390624141711,0.649625165754198,0.08932507173069941,0.9967047861405459,0.0008117100436301614,1.5335854110047655,0.022512504749201936
9,medium,3,burst,error_trigger,21,0.2437789390690473,0.014875304165858149,0.03658319677253548,0.007150144511759804,0.48026048026048024,0.10033836244592331,0.9837884801833916,0.004652842624181122,11.365893365893367,1.4014787410086804
9,medium,3,burst,generic_voi,21,0.24343735955599907,0.015149857036385364,0.037023805628208964,0.006918105592940967,0.48971339293919935,0.0945258436519121,0.9858591605508196,0.00412299709718192,9.363264931006867,1.1258758669806332
9,medium,3,burst,oracle,21,0.24729028435766928,0.014707552140957671,0.014456777410942735,0.0012642986495251464,0.1754040463717883,0.01827798912402282,0.9852527751136461,0.004291217747002891,11.261517455065842,1.4354958472787183
9,medium,3,severe_burst,ar1_growth_voi,21,0.4987274720374003,0.022222118600079145,0.09574967558060822,0.014722391280554985,1.2811322488741848,0.2167814392140332,0.6879258991135506,0.012327287536494163,4.095991702443316,0.1279803769166386
9,medium,3,severe_burst,b2croi_hq,21,0.4660050582991582,0.024508585482847515,0.03870753894348643,0.0031945766185259234,0.4553152940249714,0.04075823012921788,0.999809916865432,8.915065713683664e-05,3.18375411923799,0.07760654762731979
9,medium,3,severe_burst,cvoi_sf,21,0.48125499244735515,0.02100891033526767,0.07501631595827714,0.008751726218058864,0.9237596334370528,0.11620929177382135,0.9967429197103647,0.0006414578057652345,2.1434295692360203,0.04123047808768735
9,medium,3,severe_burst,error_trigger,21,0.4056041450218696,0.022912841881127192,0.06121023245133556,0.009163526758541443,0.787480142318852,0.12738886289685022,0.9848175022615083,0.004184587071097743,12.798694972888521,1.6029097079364159
9,medium,3,severe_burst,generic_voi,21,0.4058900737920712,0.023103811325713628,0.060330516283380646,0.009155825087284358,0.7777646487323906,0.1253594629383408,0.9865307725431549,0.003930766969607537,10.818858560794045,1.288495326557268
