policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
cvoi_sf,burst,5002,6048,2015,0.3978617444661519,0.045231111820367646,0.5459057071960298,0.6617038875103392,1.5525227460711333,15.0,0.9976083297153607,86.74937965260547,34.44682228986738,0.08110944363041826,0.09050000000000782,0.12842088345551136,0.5826666666666633,0.0,17.999999999999677,3,low,1
b2croi_v8,burst,5002,6048,2015,0.30595840931799756,0.01611984405663038,0.19851116625310172,0.18196856906534326,6.713316790736146,83.0,0.9838082852905309,86.74937965260547,392.6636821592675,0.3528859614678478,0.05,0.12842088345551136,0.0,0.0,44.66666666666621,3,low,1
v8_no_mode,burst,5002,6048,2015,0.30775970828445315,0.012914543835116648,0.1488833746898263,0.1654259718775848,8.110669975186104,99.0,0.9797076627473293,86.74937965260547,415.8775232589016,0.48471744497632735,0.05,0.12842088345551136,0.0,0.0,47.777777777777565,3,low,1
v8_no_constraint_bonus,burst,5002,6048,2015,0.30859639776379827,0.012920803929311511,0.1488833746898263,0.1654259718775848,7.9313482216708024,99.0,0.9811153019649974,86.74937965260547,410.47168818184593,0.442510396366834,0.05,0.12842088345551136,0.0,0.0,46.11111111111078,3,low,1
v8_no_rmse_cost,burst,5002,6048,2015,0.30374998996484276,0.013866248182029958,0.1654259718775848,0.1654259718775848,6.963275434243176,99.0,0.983738206395737,86.74937965260547,392.59862156455443,0.3561487340771019,0.05,0.12842088345551136,0.0,0.0,44.666666666666195,3,low,1
v8_no_reliability,burst,5002,6048,2015,0.30520828294374686,0.012888930648618072,0.1488833746898263,0.1654259718775848,7.037055417700579,99.0,0.983076524876632,86.74937965260547,410.67892897564445,0.38993860866880276,0.05,0.12842088345551136,0.0,0.0,45.333333333332924,3,low,1
oracle,burst,5002,6048,2015,0.30774125315771744,0.01291308601828141,0.1488833746898263,0.1654259718775848,7.982464846980976,99.0,0.9809773423703883,86.74937965260547,69.976125170174,0.4302984181337237,0.05,0.12842088345551136,0.0,0.0,46.77777777777748,3,low,1
error_trigger,burst,5003,8064,2015,0.30020942339978807,0.040367813243402384,0.5459057071960298,0.41356492969396197,5.455417700578991,84.0,0.9684212007614327,88.43672456575682,4.604314315241412,0.8221812036685816,0.09050000000001027,0.11424865801931708,0.37600000000001965,0.0,63.11111111111174,3,low,1
generic_voi,burst,5003,8064,2015,0.297925807796613,0.03885949962781989,0.5128205128205128,0.4466501240694789,5.157320099255583,83.0,0.9687733456069637,88.43672456575682,10.668787621100325,0.7976333579130939,0.060500000000010344,0.11424865801931708,0.042666666666672876,0.0,61.66666666666732,3,low,1
cvoi_sf,burst,5003,8064,2015,0.37811830479436503,0.048914471350193396,0.5789909015715468,0.7940446650124069,1.4770885028949545,12.0,0.998168977693143,88.43672456575682,34.80285027112914,0.05,0.12050000000001024,0.11424865801931708,1.376000000000114,0.0,16.444444444445004,3,low,1
b2croi_v8,burst,5003,8064,2015,0.30198465928321444,0.014576954187516127,0.1488833746898263,0.2812241521918941,5.351695616211745,84.0,0.9681288655946784,88.43672456575682,388.575787944881,0.7161137565054899,0.05,0.11424865801931708,0.0,0.0,62.00000000000063,3,low,1
v8_no_mode,burst,5003,8064,2015,0.3070627208858053,0.012888645024631242,0.13234077750206782,0.23159636062861869,5.444003308519438,84.0,0.9684212007614327,88.43672456575682,375.1536487791197,0.7794137110148585,0.05,0.11424865801931708,0.0,0.0,62.222222222222825,3,low,1
v8_no_constraint_bonus,burst,5003,8064,2015,0.30705491997586115,0.012888570352473112,0.13234077750206782,0.23159636062861869,5.446815550041356,84.0,0.9684212007614327,88.43672456575682,375.83372192850186,0.7807415966080689,0.05,0.11424865801931708,0.0,0.0,62.222222222222825,3,low,1
v8_no_rmse_cost,burst,5003,8064,2015,0.3020013935026959,0.014577090564694802,0.1488833746898263,0.2812241521918941,5.311331679073614,84.0,0.9696062016970034,88.43672456575682,376.84101884648504,0.6877049185664195,0.05,0.11424865801931708,0.0,0.0,61.222222222222854,3,low,1
